날짜,의류/잡화,소비판매지수,일교차,월,소비
201912,-2.6,0.0099667774086378,7.9,12,0
202001,-15.9,-0.0805921052631578,7.6,1,0
202002,-16.3,-0.1252236135957066,8.5,2,0
202003,-7.8,0.0930470347648262,10.7,3,0
202004,15.7,0.0187090739008419,10.3,4,1
202005,35.8,0.0872359963269053,9.6,5,1
202006,-13.0,-0.0126689189189189,9.1,6,0
202007,-11.5,-0.0513259195893925,6.899999999999999,7,0
202008,-13.0,0.0072137060414787,4.900000000000002,8,0
202009,6.4,0.0564010743061771,7.600000000000001,9,1
202010,21.8,-0.0186440677966102,9.9,10,1
202011,-4.1,0.0276338514680483,8.6,11,1
202012,-13.6,0.0008403361344537,8.1,12,0
202101,-10.2,-0.0579345088161208,9.0,1,0
202102,-0.1,-0.053475935828877,10.1,2,0
202103,29.5,0.1252354048964217,10.5,3,1
202104,-1.1,-0.005020920502092,10.0,4,0
202105,4.5,0.0328006728343144,9.099999999999998,5,1
202106,-3.8,-0.0268729641693811,8.700000000000003,6,0
202107,-7.6,0.005857740585774,7.600000000000001,7,0
202108,-11.1,-0.0307820299500831,6.899999999999999,8,0
202109,19.0,0.0532188841201717,8.099999999999998,9,1
202110,20.0,0.0187449062754685,8.9,10,1
202111,-5.8,-0.0023999999999999,9.1,11,0
202112,-5.1,0.0200481154771452,8.6,12,0
202201,-9.7,-0.0762578616352201,8.8,1,0
202202,-18.8,-0.0817021276595744,9.1,2,0
202203,23.5,0.1306765523632993,9.5,3,1
202204,14.3,-0.021311475409836,10.6,4,1
